ROI Label,ROI Name,R,A,S
51,17Networks_LH_LimbicB_OFC_1,-24,22,-20
52,17Networks_LH_LimbicB_OFC_2,-10,36,-20
80,17Networks_LH_DefaultA_PFCm_1,-6,36,-10
81,17Networks_LH_DefaultA_PFCm_2,-12,64,-6
82,17Networks_LH_DefaultA_PFCm_3,-6,44,8
157,17Networks_RH_LimbicB_OFC_1,12,38,-22
158,17Networks_RH_LimbicB_OFC_2,28,22,-20
159,17Networks_RH_LimbicB_OFC_3,4,36,-14
160,17Networks_RH_LimbicB_OFC_4,14,64,-8
187,17Networks_RH_DefaultA_PFCm_1,8,42,4
188,17Networks_RH_DefaultA_PFCm_2,6,28,16
189,17Networks_RH_DefaultA_PFCm_3,8,58,18
201,LH Nac,,,
203,LH Cau,,,
206,LH Put,,,
207,LH Thl,,,
209,RH Amy,,,
210,RH Cau,,,
213,RH Put,,,
214,RH Thl,,,
